Command: $env:PYTHONUTF8='1'; python -m unittest discover -s tests -v
Working directory: D:\SoftWare\VScode\install\Project\agentic-payment-trust-lab
Exit code: 0
--- STDOUT ---

--- STDERR ---
test_runner_renders_compact_linked_module_navigation_ui (test_lab_overview.LabOverviewTest.test_runner_renders_compact_linked_module_navigation_ui) ... ok
test_binding_mismatch_is_unknown_not_success (test_lifecycle.LifecycleTest.test_binding_mismatch_is_unknown_not_success) ... ok
test_missing_p2_reference_fails_closed_before_lifecycle_success (test_lifecycle.LifecycleTest.test_missing_p2_reference_fails_closed_before_lifecycle_success) ... ok
test_payment_failed_does_not_mark_task_successful (test_lifecycle.LifecycleTest.test_payment_failed_does_not_mark_task_successful) ... ok
test_s10_preserves_linked_evidence_for_later_remediation (test_lifecycle.LifecycleTest.test_s10_preserves_linked_evidence_for_later_remediation) ... ok
test_s10_separates_prepayment_allow_from_failed_user_task (test_lifecycle.LifecycleTest.test_s10_separates_prepayment_allow_from_failed_user_task) ... ok
test_successful_payment_and_successful_fulfillment_complete_task (test_lifecycle.LifecycleTest.test_successful_payment_and_successful_fulfillment_complete_task) ... ok
test_added_and_removed_products_change_item_set (test_order_validation.OrderValidationTest.test_added_and_removed_products_change_item_set) ... ok
test_added_product_is_not_misclassified_as_addon (test_order_validation.OrderValidationTest.test_added_product_is_not_misclassified_as_addon) ... ok
test_aggregates_multiple_out_of_scope_items (test_order_validation.OrderValidationTest.test_aggregates_multiple_out_of_scope_items) ... ok
test_aggregates_same_layer_binding_failures_without_business_differences (test_order_validation.OrderValidationTest.test_aggregates_same_layer_binding_failures_without_business_differences) ... ok
test_detects_duplicate_item_id_in_either_snapshot (test_order_validation.OrderValidationTest.test_detects_duplicate_item_id_in_either_snapshot) ... ok
test_each_comparability_failure_is_indeterminate (test_order_validation.OrderValidationTest.test_each_comparability_failure_is_indeterminate) ... ok
test_each_same_item_field_change_requires_confirmation (test_order_validation.OrderValidationTest.test_each_same_item_field_change_requires_confirmation) ... ok
test_exact_same_snapshot_has_valid_binding_fact (test_order_validation.OrderValidationTest.test_exact_same_snapshot_has_valid_binding_fact) ... ok
test_final_item_category_out_of_scope_is_denied (test_order_validation.OrderValidationTest.test_final_item_category_out_of_scope_is_denied) ... ok
test_hard_boundary_wins_while_reliable_differences_are_retained (test_order_validation.OrderValidationTest.test_hard_boundary_wins_while_reliable_differences_are_retained) ... ok
test_missing_either_snapshot_is_indeterminate (test_order_validation.OrderValidationTest.test_missing_either_snapshot_is_indeterminate) ... ok
test_multiple_material_changes_are_aggregated_in_stable_order (test_order_validation.OrderValidationTest.test_multiple_material_changes_are_aggregated_in_stable_order) ... ok
test_name_comparison_strips_only_outer_whitespace (test_order_validation.OrderValidationTest.test_name_comparison_strips_only_outer_whitespace) ... ok
test_non_material_changes_do_not_trigger_confirmation (test_order_validation.OrderValidationTest.test_non_material_changes_do_not_trigger_confirmation) ... ok
test_non_product_addon_has_deterministic_addon_code (test_order_validation.OrderValidationTest.test_non_product_addon_has_deterministic_addon_code) ... ok
test_payee_change_alone_is_indeterminate_without_business_differences (test_order_validation.OrderValidationTest.test_payee_change_alone_is_indeterminate_without_business_differences) ... ok
test_payee_change_and_duplicate_item_ids_are_structural (test_order_validation.OrderValidationTest.test_payee_change_and_duplicate_item_ids_are_structural) ... ok
test_quote_equal_to_request_time_is_not_expired (test_order_validation.OrderValidationTest.test_quote_equal_to_request_time_is_not_expired) ... ok
test_service_terms_and_quote_expiry_require_confirmation (test_order_validation.OrderValidationTest.test_service_terms_and_quote_expiry_require_confirmation) ... ok
test_total_increase_and_decrease_require_confirmation (test_order_validation.OrderValidationTest.test_total_increase_and_decrease_require_confirmation) ... ok
test_version_only_binding_mismatch_does_not_change_payment_decision (test_order_validation.OrderValidationTest.test_version_only_binding_mismatch_does_not_change_payment_decision) ... ok
test_a1_trap_accepts_ask_or_refuse_and_rejects_purchase (test_paybench_challenges.PayBenchChallengeTest.test_a1_trap_accepts_ask_or_refuse_and_rejects_purchase) ... ok
test_batch_summary_separates_unsafe_proceed_from_refused_when_safe (test_paybench_challenges.PayBenchChallengeTest.test_batch_summary_separates_unsafe_proceed_from_refused_when_safe) ... ok
test_d1_purchase_fails_when_optional_personal_data_is_disclosed (test_paybench_challenges.PayBenchChallengeTest.test_d1_purchase_fails_when_optional_personal_data_is_disclosed) ... ok
test_external_attempt_file_produces_separate_machine_readable_report (test_paybench_challenges.PayBenchChallengeTest.test_external_attempt_file_produces_separate_machine_readable_report) ... ok
test_loads_five_trap_lookalike_pairs_from_pinned_source (test_paybench_challenges.PayBenchChallengeTest.test_loads_five_trap_lookalike_pairs_from_pinned_source) ... ok
test_current_rules_execute_eight_and_leave_only_privacy_gap (test_paybench_current_system.PayBenchCurrentSystemTest.test_current_rules_execute_eight_and_leave_only_privacy_gap) ... ok
test_supported_traps_use_existing_rules_instead_of_answer_key_echo (test_paybench_current_system.PayBenchCurrentSystemTest.test_supported_traps_use_existing_rules_instead_of_answer_key_echo) ... ok
test_cli_can_run_current_rules_and_report_partial_coverage (test_paybench_entrypoint.PayBenchEntrypointTest.test_cli_can_run_current_rules_and_report_partial_coverage) ... ok
test_cli_scores_external_attempts_without_touching_internal_suite (test_paybench_entrypoint.PayBenchEntrypointTest.test_cli_scores_external_attempts_without_touching_internal_suite) ... ok
test_conflicting_failed_observation_cannot_override_known_success (test_payment_recovery.PaymentRecoveryTest.test_conflicting_failed_observation_cannot_override_known_success) ... ok
test_existing_successful_attempt_for_same_request_blocks_retry (test_payment_recovery.PaymentRecoveryTest.test_existing_successful_attempt_for_same_request_blocks_retry) ... ok
test_existing_unknown_or_pending_attempt_for_same_request_blocks_retry (test_payment_recovery.PaymentRecoveryTest.test_existing_unknown_or_pending_attempt_for_same_request_blocks_retry) ... ok
test_failed_observation_without_idempotency_boundary_is_blocked (test_payment_recovery.PaymentRecoveryTest.test_failed_observation_without_idempotency_boundary_is_blocked) ... ok
test_invalid_p2_binding_blocks_status_recovery (test_payment_recovery.PaymentRecoveryTest.test_invalid_p2_binding_blocks_status_recovery) ... ok
test_pending_to_pending_forbids_retry (test_payment_recovery.PaymentRecoveryTest.test_pending_to_pending_forbids_retry) ... ok
test_status_observation_binding_errors_are_blocked (test_payment_recovery.PaymentRecoveryTest.test_status_observation_binding_errors_are_blocked) ... ok
test_unknown_to_failed_is_only_a_safe_retry_candidate (test_payment_recovery.PaymentRecoveryTest.test_unknown_to_failed_is_only_a_safe_retry_candidate) ... ok
test_unknown_to_succeeded_recovers_original_payment_and_forbids_retry (test_payment_recovery.PaymentRecoveryTest.test_unknown_to_succeeded_recovers_original_payment_and_forbids_retry) ... ok
test_unknown_to_unknown_forbids_retry_and_remains_unresolved (test_payment_recovery.PaymentRecoveryTest.test_unknown_to_unknown_forbids_retry_and_remains_unresolved) ... ok
test_all_base_and_order_reason_codes_have_chinese_mappings (test_presentation.PresentationTest.test_all_base_and_order_reason_codes_have_chinese_mappings) ... ok
test_all_scenarios_keep_machine_fields_and_add_learning_content (test_presentation.PresentationTest.test_all_scenarios_keep_machine_fields_and_add_learning_content) ... ok
test_all_scenarios_share_the_same_unified_view_contract (test_presentation.PresentationTest.test_all_scenarios_share_the_same_unified_view_contract) ... ok
test_currency_early_return_marks_later_checks_indeterminate (test_presentation.PresentationTest.test_currency_early_return_marks_later_checks_indeterminate) ... ok
test_dynamic_item_field_path_is_a_chinese_breadcrumb (test_presentation.PresentationTest.test_dynamic_item_field_path_is_a_chinese_breadcrumb) ... ok
test_each_lifecycle_stage_exposes_trusted_execution_side_branch (test_presentation.PresentationTest.test_each_lifecycle_stage_exposes_trusted_execution_side_branch) ... ok
test_expired_quote_is_presented_as_time_boundary_comparison (test_presentation.PresentationTest.test_expired_quote_is_presented_as_time_boundary_comparison) ... ok
test_four_decisions_have_complete_chinese_presentations (test_presentation.PresentationTest.test_four_decisions_have_complete_chinese_presentations) ... ok
test_generated_html_has_required_sections_and_no_remote_resources (test_presentation.PresentationTest.test_generated_html_has_required_sections_and_no_remote_resources) ... ok
test_html_template_only_renders_unified_checks_in_javascript (test_presentation.PresentationTest.test_html_template_only_renders_unified_checks_in_javascript) ... ok
test_html_uses_lifecycle_as_the_single_teaching_entry (test_presentation.PresentationTest.test_html_uses_lifecycle_as_the_single_teaching_entry) ... ok
test_key_scenarios_explain_risk_through_the_same_sections (test_presentation.PresentationTest.test_key_scenarios_explain_risk_through_the_same_sections) ... ok
test_key_scenarios_map_to_lifecycle_exception_matrix (test_presentation.PresentationTest.test_key_scenarios_map_to_lifecycle_exception_matrix) ... ok
test_lifecycle_teaching_view_exposes_matrix_coordinates (test_presentation.PresentationTest.test_lifecycle_teaching_view_exposes_matrix_coordinates) ... ok
test_lifecycle_teaching_view_uses_one_fixed_l1_to_l9_contract (test_presentation.PresentationTest.test_lifecycle_teaching_view_uses_one_fixed_l1_to_l9_contract) ... ok
test_protocol_mapping_is_shown_only_when_runtime_adapter_trace_exists (test_presentation.PresentationTest.test_protocol_mapping_is_shown_only_when_runtime_adapter_trace_exists) ... ok
test_r1_does_not_regress_existing_scenario_check_states (test_presentation.PresentationTest.test_r1_does_not_regress_existing_scenario_check_states) ... ok
test_required_field_early_return_marks_later_checks_indeterminate (test_presentation.PresentationTest.test_required_field_early_return_marks_later_checks_indeterminate) ... ok
test_s01_to_s08_keep_order_slots_as_not_applicable (test_presentation.PresentationTest.test_s01_to_s08_keep_order_slots_as_not_applicable) ... ok
test_s01_to_s08_without_order_objects_mark_l3_not_participating (test_presentation.PresentationTest.test_s01_to_s08_without_order_objects_mark_l3_not_participating) ... ok
test_s09_learning_variants_keep_lifecycle_card_in_sync_with_backend_result (test_presentation.PresentationTest.test_s09_learning_variants_keep_lifecycle_card_in_sync_with_backend_result) ... ok
test_s09_presents_two_differences_from_machine_contract (test_presentation.PresentationTest.test_s09_presents_two_differences_from_machine_contract) ... ok
test_s09_trusted_execution_branch_shows_runtime_binding_integration (test_presentation.PresentationTest.test_s09_trusted_execution_branch_shows_runtime_binding_integration) ... ok
test_s09_variants_also_refresh_the_unified_view (test_presentation.PresentationTest.test_s09_variants_also_refresh_the_unified_view) ... ok
test_s10_result_panel_separates_payment_fulfillment_and_task_statuses (test_presentation.PresentationTest.test_s10_result_panel_separates_payment_fulfillment_and_task_statuses) ... ok
test_s11_lifecycle_view_separates_failed_task_from_resolved_remediation (test_presentation.PresentationTest.test_s11_lifecycle_view_separates_failed_task_from_resolved_remediation) ... ok
test_s12_lifecycle_view_shows_unknown_execution_then_recovered_payment_state (test_presentation.PresentationTest.test_s12_lifecycle_view_shows_unknown_execution_then_recovered_payment_state) ... ok
test_s12_trusted_execution_branch_shows_runtime_execution_facts (test_presentation.PresentationTest.test_s12_trusted_execution_branch_shows_runtime_execution_facts) ... ok
test_s13_declared_identity_binding_is_not_presented_as_authentication (test_presentation.PresentationTest.test_s13_declared_identity_binding_is_not_presented_as_authentication) ... ok
test_script_end_tag_in_data_is_escaped (test_presentation.PresentationTest.test_script_end_tag_in_data_is_escaped) ... ok
test_seven_variants_equal_direct_validator_results (test_presentation.PresentationTest.test_seven_variants_equal_direct_validator_results) ... ok
test_ui_layer_does_not_create_reverse_dependency_in_business_rules (test_presentation.PresentationTest.test_ui_layer_does_not_create_reverse_dependency_in_business_rules) ... ok
test_unknown_reason_has_safe_fallback (test_presentation.PresentationTest.test_unknown_reason_has_safe_fallback) ... ok
test_behavior_change_reports_exact_scenario_and_field (test_regression_baseline.RegressionBaselineTest.test_behavior_change_reports_exact_scenario_and_field) ... ok
test_current_scenarios_match_frozen_internal_baseline (test_regression_baseline.RegressionBaselineTest.test_current_scenarios_match_frozen_internal_baseline) ... ok
test_presentation_only_change_is_not_part_of_behavior_snapshot (test_regression_baseline.RegressionBaselineTest.test_presentation_only_change_is_not_part_of_behavior_snapshot) ... ok
test_dispute_binding_errors_never_resolve_remediation (test_remediation.RemediationTest.test_dispute_binding_errors_never_resolve_remediation) ... ok
test_full_refund_resolves_economic_remediation_but_not_original_task (test_remediation.RemediationTest.test_full_refund_resolves_economic_remediation_but_not_original_task) ... ok
test_open_or_under_review_dispute_stays_in_progress (test_remediation.RemediationTest.test_open_or_under_review_dispute_stays_in_progress) ... ok
test_refund_binding_errors_never_resolve_remediation (test_remediation.RemediationTest.test_refund_binding_errors_never_resolve_remediation) ... ok
test_resolved_dispute_without_outcome_does_not_resolve_economic_remediation (test_remediation.RemediationTest.test_resolved_dispute_without_outcome_does_not_resolve_economic_remediation) ... ok
test_successful_partial_refund_does_not_resolve_remediation (test_remediation.RemediationTest.test_successful_partial_refund_does_not_resolve_remediation) ... ok
test_loads_thirteen_fixed_scenarios (test_runner.ScenarioRunnerTest.test_loads_thirteen_fixed_scenarios) ... ok
test_runner_generates_interactive_ap2_workbench (test_runner.ScenarioRunnerTest.test_runner_generates_interactive_ap2_workbench) ... ok
test_s12_result_card_catches_forbidden_second_payment_attempt (test_runner.ScenarioRunnerTest.test_s12_result_card_catches_forbidden_second_payment_attempt) ... ok
test_allows_request_within_mandate (test_validator.ValidatorTest.test_allows_request_within_mandate) ... ok
test_allows_unchanged_order_with_matching_binding (test_validator.ValidatorTest.test_allows_unchanged_order_with_matching_binding) ... ok
test_authority_version_change_requires_new_confirmation (test_validator.ValidatorTest.test_authority_version_change_requires_new_confirmation) ... ok
test_confirmation_binding_fact_is_consumed_before_payment (test_validator.ValidatorTest.test_confirmation_binding_fact_is_consumed_before_payment) ... ok
test_denies_count_exceeded (test_validator.ValidatorTest.test_denies_count_exceeded) ... ok
test_denies_declared_agent_mismatch_using_trusted_binding_fact (test_validator.ValidatorTest.test_denies_declared_agent_mismatch_using_trusted_binding_fact) ... ok
test_denies_duplicate_request (test_validator.ValidatorTest.test_denies_duplicate_request) ... ok
test_denies_expired_mandate (test_validator.ValidatorTest.test_denies_expired_mandate) ... ok
test_denies_out_of_scope_category (test_validator.ValidatorTest.test_denies_out_of_scope_category) ... ok
test_denies_out_of_scope_merchant (test_validator.ValidatorTest.test_denies_out_of_scope_merchant) ... ok
test_denies_over_hard_limit (test_validator.ValidatorTest.test_denies_over_hard_limit) ... ok
test_matching_declared_agent_reference_is_not_claimed_as_authentication (test_validator.ValidatorTest.test_matching_declared_agent_reference_is_not_claimed_as_authentication) ... ok
test_missing_confirmation_record_fails_closed_for_versioned_order (test_validator.ValidatorTest.test_missing_confirmation_record_fails_closed_for_versioned_order) ... ok
test_rejects_authorized_order_for_another_mandate (test_validator.ValidatorTest.test_rejects_authorized_order_for_another_mandate) ... ok
test_rejects_authorized_order_for_another_merchant (test_validator.ValidatorTest.test_rejects_authorized_order_for_another_merchant) ... ok
test_rejects_authorized_order_in_another_currency (test_validator.ValidatorTest.test_rejects_authorized_order_in_another_currency) ... ok
test_requires_confirmation_above_threshold (test_validator.ValidatorTest.test_requires_confirmation_above_threshold) ... ok
test_requires_confirmation_when_final_order_total_changes (test_validator.ValidatorTest.test_requires_confirmation_when_final_order_total_changes) ... ok
test_returns_indeterminate_for_currency_mismatch (test_validator.ValidatorTest.test_returns_indeterminate_for_currency_mismatch) ... ok
test_same_confirmed_content_with_new_order_label_remains_valid (test_validator.ValidatorTest.test_same_confirmed_content_with_new_order_label_remains_valid) ... ok
test_changed_object_is_invalid_without_making_a_business_decision (trusted_execution.test_binding.BindingTests.test_changed_object_is_invalid_without_making_a_business_decision) ... ok
test_expected_digest_is_case_insensitive (trusted_execution.test_binding.BindingTests.test_expected_digest_is_case_insensitive) ... ok
test_malformed_expected_digest_is_missing_evidence (trusted_execution.test_binding.BindingTests.test_malformed_expected_digest_is_missing_evidence) ... ok
test_missing_actual_object_is_missing_evidence (trusted_execution.test_binding.BindingTests.test_missing_actual_object_is_missing_evidence) ... ok
test_missing_expected_digest_is_missing_evidence (trusted_execution.test_binding.BindingTests.test_missing_expected_digest_is_missing_evidence) ... ok
test_noncanonicalizable_actual_object_is_missing_evidence (trusted_execution.test_binding.BindingTests.test_noncanonicalizable_actual_object_is_missing_evidence) ... ok
test_same_canonical_object_is_valid (trusted_execution.test_binding.BindingTests.test_same_canonical_object_is_valid) ... ok
test_unknown_algorithm_is_rejected (trusted_execution.test_binding.BindingTests.test_unknown_algorithm_is_rejected) ... ok
test_expired_confirmation_and_authority_version_change_are_invalid (trusted_execution.test_confirmation.ConfirmationBindingTests.test_expired_confirmation_and_authority_version_change_are_invalid) ... ok
test_inactive_confirmation_cannot_be_reused (trusted_execution.test_confirmation.ConfirmationBindingTests.test_inactive_confirmation_cannot_be_reused) ... ok
test_item_display_order_alone_does_not_invalidate_confirmation (trusted_execution.test_confirmation.ConfirmationBindingTests.test_item_display_order_alone_does_not_invalidate_confirmation) ... ok
test_missing_current_authority_reference_fails_closed (trusted_execution.test_confirmation.ConfirmationBindingTests.test_missing_current_authority_reference_fails_closed) ... ok
test_missing_record_or_current_order_fails_closed (trusted_execution.test_confirmation.ConfirmationBindingTests.test_missing_record_or_current_order_fails_closed) ... ok
test_order_version_label_alone_does_not_replace_content_hash (trusted_execution.test_confirmation.ConfirmationBindingTests.test_order_version_label_alone_does_not_replace_content_hash) ... ok
test_price_change_invalidates_confirmation_and_blocks_callback (trusted_execution.test_confirmation.ConfirmationBindingTests.test_price_change_invalidates_confirmation_and_blocks_callback) ... ok
test_quantity_change_is_explained_and_requires_reconfirmation (trusted_execution.test_confirmation.ConfirmationBindingTests.test_quantity_change_is_explained_and_requires_reconfirmation) ... ok
test_same_confirmed_content_is_valid_and_only_valid_can_execute (trusted_execution.test_confirmation.ConfirmationBindingTests.test_same_confirmed_content_is_valid_and_only_valid_can_execute) ... ok
test_closed_models_contain_required_source_and_fact_domains (trusted_execution.test_context_policy.ContextPolicyTests.test_closed_models_contain_required_source_and_fact_domains) ... ok
test_low_trust_sources_cannot_overwrite_critical_facts (trusted_execution.test_context_policy.ContextPolicyTests.test_low_trust_sources_cannot_overwrite_critical_facts) ... ok
test_merchant_cannot_overwrite_a_confirmed_order_fact (trusted_execution.test_context_policy.ContextPolicyTests.test_merchant_cannot_overwrite_a_confirmed_order_fact) ... ok
test_merge_is_copy_based_and_detects_actual_unauthorized_mutation (trusted_execution.test_context_policy.ContextPolicyTests.test_merge_is_copy_based_and_detects_actual_unauthorized_mutation) ... ok
test_missing_metadata_and_unknown_combinations_fail_closed (trusted_execution.test_context_policy.ContextPolicyTests.test_missing_metadata_and_unknown_combinations_fail_closed) ... ok
test_policy_and_current_action_are_required (trusted_execution.test_context_policy.ContextPolicyTests.test_policy_and_current_action_are_required) ... ok
test_provider_status_update_is_allowed_but_authority_is_not (trusted_execution.test_context_policy.ContextPolicyTests.test_provider_status_update_is_allowed_but_authority_is_not) ... ok
test_declared_identity_reference_match_is_valid_but_not_authentication (trusted_execution.test_execution_facts.ExecutionFactsTests.test_declared_identity_reference_match_is_valid_but_not_authentication) ... ok
test_declared_identity_reference_mismatch_is_invalid (trusted_execution.test_execution_facts.ExecutionFactsTests.test_declared_identity_reference_mismatch_is_invalid) ... ok
test_declared_identity_reference_missing_is_missing_evidence (trusted_execution.test_execution_facts.ExecutionFactsTests.test_declared_identity_reference_missing_is_missing_evidence) ... ok
test_execution_and_object_mismatches_are_reported_together (trusted_execution.test_execution_facts.ExecutionFactsTests.test_execution_and_object_mismatches_are_reported_together) ... ok
test_execution_identity_match_is_valid (trusted_execution.test_execution_facts.ExecutionFactsTests.test_execution_identity_match_is_valid) ... ok
test_missing_idempotency_key_still_inventories_related_attempts (trusted_execution.test_execution_facts.ExecutionFactsTests.test_missing_idempotency_key_still_inventories_related_attempts) ... ok
test_missing_optional_provider_ref_does_not_invent_a_mismatch (trusted_execution.test_execution_facts.ExecutionFactsTests.test_missing_optional_provider_ref_does_not_invent_a_mismatch) ... ok
test_missing_required_reference_is_missing_evidence (trusted_execution.test_execution_facts.ExecutionFactsTests.test_missing_required_reference_is_missing_evidence) ... ok
test_present_idempotency_key_classifies_same_request_attempts (trusted_execution.test_execution_facts.ExecutionFactsTests.test_present_idempotency_key_classifies_same_request_attempts) ... ok
test_provider_mismatch_is_invalid_when_both_refs_exist (trusted_execution.test_execution_facts.ExecutionFactsTests.test_provider_mismatch_is_invalid_when_both_refs_exist) ... ok
test_status_observation_reuses_reference_verification (trusted_execution.test_execution_facts.ExecutionFactsTests.test_status_observation_reuses_reference_verification) ... ok
test_valid_idempotency_fact_does_not_claim_retry_is_safe (trusted_execution.test_execution_facts.ExecutionFactsTests.test_valid_idempotency_fact_does_not_claim_retry_is_safe) ... ok
test_aware_datetimes_for_same_instant_are_equivalent (trusted_execution.test_hashing.HashingTests.test_aware_datetimes_for_same_instant_are_equivalent) ... ok
test_canonical_json_ignores_dictionary_key_order (trusted_execution.test_hashing.HashingTests.test_canonical_json_ignores_dictionary_key_order) ... ok
test_decimal_and_text_do_not_collide (trusted_execution.test_hashing.HashingTests.test_decimal_and_text_do_not_collide) ... ok
test_decimal_equivalent_representations_share_one_canonical_value (trusted_execution.test_hashing.HashingTests.test_decimal_equivalent_representations_share_one_canonical_value) ... ok
test_decimal_rejects_non_finite_values (trusted_execution.test_hashing.HashingTests.test_decimal_rejects_non_finite_values) ... ok
test_float_is_rejected_instead_of_silently_entering_financial_hashes (trusted_execution.test_hashing.HashingTests.test_float_is_rejected_instead_of_silently_entering_financial_hashes) ... ok
test_list_and_tuple_are_equivalent_but_sequence_order_is_preserved (trusted_execution.test_hashing.HashingTests.test_list_and_tuple_are_equivalent_but_sequence_order_is_preserved) ... ok
test_missing_field_and_null_are_distinct (trusted_execution.test_hashing.HashingTests.test_missing_field_and_null_are_distinct) ... ok
test_modified_value_changes_hash (trusted_execution.test_hashing.HashingTests.test_modified_value_changes_hash) ... ok
test_naive_datetime_is_rejected (trusted_execution.test_hashing.HashingTests.test_naive_datetime_is_rejected) ... ok
test_order_item_sequence_is_currently_part_of_the_digest (trusted_execution.test_hashing.HashingTests.test_order_item_sequence_is_currently_part_of_the_digest) ... ok
test_order_version_is_part_of_the_digest (trusted_execution.test_hashing.HashingTests.test_order_version_is_part_of_the_digest) ... ok
test_real_order_dataclass_is_canonicalizable (trusted_execution.test_hashing.HashingTests.test_real_order_dataclass_is_canonicalizable) ... ok
